architecture,requests_mean,requests_ci_low,requests_ci_high,requests_std,permit_rate_pct_mean,permit_rate_pct_ci_low,permit_rate_pct_ci_high,permit_rate_pct_std,false_permit_rate_pct_mean,false_permit_rate_pct_ci_low,false_permit_rate_pct_ci_high,false_permit_rate_pct_std,permit_precision_pct_mean,permit_precision_pct_ci_low,permit_precision_pct_ci_high,permit_precision_pct_std,legitimate_denial_rate_pct_mean,legitimate_denial_rate_pct_ci_low,legitimate_denial_rate_pct_ci_high,legitimate_denial_rate_pct_std,prohibited_transfer_escape_pct_mean,prohibited_transfer_escape_pct_ci_low,prohibited_transfer_escape_pct_ci_high,prohibited_transfer_escape_pct_std,blocked_prohibited_transfer_pct_mean,blocked_prohibited_transfer_pct_ci_low,blocked_prohibited_transfer_pct_ci_high,blocked_prohibited_transfer_pct_std,mean_latency_ms_mean,mean_latency_ms_ci_low,mean_latency_ms_ci_high,mean_latency_ms_std,p50_latency_ms_mean,p50_latency_ms_ci_low,p50_latency_ms_ci_high,p50_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_ci_low,p95_latency_ms_ci_high,p95_latency_ms_std,mean_fields_disclosed_mean,mean_fields_disclosed_ci_low,mean_fields_disclosed_ci_high,mean_fields_disclosed_std,median_fields_disclosed_mean,median_fields_disclosed_ci_low,median_fields_disclosed_ci_high,median_fields_disclosed_std,receipt_coverage_pct_mean,receipt_coverage_pct_ci_low,receipt_coverage_pct_ci_high,receipt_coverage_pct_std,valid_request_share_pct_mean,valid_request_share_pct_ci_low,valid_request_share_pct_ci_high,valid_request_share_pct_std,prohibited_transfer_candidates_mean,prohibited_transfer_candidates_ci_low,prohibited_transfer_candidates_ci_high,prohibited_transfer_candidates_std
Legacy RBAC,100000.0,100000.0,100000.0,0.0,82.68320000000001,82.63406947519675,82.73233052480327,0.1372979141916545,77.041951152541,76.97806946614003,77.10583283894198,0.17852083471573016,29.718239789224068,29.663103914311026,29.77337566413711,0.15408019053341773,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.1798239273459645,1.1793775023783026,1.1802703523136264,0.0012475587661338386,1.1106989002608172,1.1101825128323024,1.111215287689332,0.0014430726546026844,1.9172630053152346,1.9154378687468332,1.919088141883636,0.005100443053680125,12.701586343696487,12.69128900245592,12.711883684937055,0.028776478161207344,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,24.571966666666665,24.525855800416803,24.618077532916526,0.12885931471378287,2874.733333333333,2852.615309363025,2896.851357303641,61.81001667140642
Zero-Trust ABAC,100000.0,100000.0,100000.0,0.0,32.1445,32.090629342606825,32.19837065739318,0.15054447160568318,10.039420219365804,9.99527020714761,10.083570231583996,0.12337960185379533,76.44240618997914,76.35255624841658,76.5322561315417,0.2510905311144411,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3.88971367642479,3.8880522582546564,3.8913750945949235,0.004642923117001409,3.6719050531510375,3.6702195637908406,3.6735905425112345,0.004710191362172266,6.34360160118649,6.338410982130985,6.348792220241996,0.014505466256225383,12.701586343696487,12.69128900245592,12.711883684937055,0.028776478161207344,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,24.571966666666665,24.525855800416803,24.618077532916526,0.12885931471378287,2874.733333333333,2852.615309363025,2896.851357303641,61.81001667140642
AFRICA-ZT-EDU,100000.0,100000.0,100000.0,0.0,24.5537,24.507624609660542,24.599775390339456,0.12876017535954473,0.00950065748122942,0.008200002857746533,0.010801312104712307,0.003634749834304453,99.97080586223487,99.96680399175045,99.97480773271928,0.01118344395006398,0.10350939055291318,0.09465052773034469,0.11236825337548167,0.024756572263766978,0.2495304737257393,0.2152152801277341,0.2838456673237445,0.09589566822165353,99.75046952627426,99.71615433267625,99.78478471987226,0.09589566822165323,6.292841477682435,6.290630860123424,6.295052095241446,0.006177690573081442,6.074599552770125,6.072555994788318,6.076643110751932,0.005710833530791403,9.120885624580357,9.113798914350792,9.127972334809922,0.019804195800803816,4.9201348252039825,4.916511782611964,4.9237578677960006,0.010124788874200381,4.0,4.0,4.0,0.0,100.0,100.0,100.0,0.0,24.571966666666665,24.525855800416803,24.618077532916526,0.12885931471378287,2874.733333333333,2852.615309363025,2896.851357303641,61.81001667140642
