seed,architecture,requests,permit_rate_pct,false_permit_rate_pct,permit_precision_pct,legitimate_denial_rate_pct,prohibited_transfer_escape_pct,blocked_prohibited_transfer_pct,mean_latency_ms,p50_latency_ms,p95_latency_ms,mean_fields_disclosed,median_fields_disclosed,receipt_coverage_pct,valid_request_share_pct,prohibited_transfer_candidates
20260817,Legacy RBAC,100000.0,82.869,77.26325569049041,29.75177690089177,0.0,100.0,0.0,1.1799631025821713,1.1085478558538915,1.9266918897140555,12.688136280673291,14.0,0.0,24.654999999999998,2857.0
20260817,Zero-Trust ABAC,100000.0,32.226,10.048443825071338,76.50654750822318,0.0,100.0,0.0,3.8877069487014144,3.6639008276940075,6.340981649440294,12.688136280673291,14.0,0.0,24.654999999999998,2857.0
20260817,AFRICA-ZT-EDU,100000.0,24.634,0.005308912336585042,99.98376227977592,0.1013993104846887,0.1400070003500175,99.85999299964999,6.292389996223435,6.068245990230208,9.135284288708286,4.912674913810586,4.0,100.0,24.654999999999998,2857.0
20260818,Legacy RBAC,100000.0,82.72,77.10075403188402,29.665135396518377,0.0,100.0,0.0,1.1804927746254419,1.1117938259941924,1.9138424778174012,12.671013488732223,14.0,0.0,24.539,2743.0
20260818,Zero-Trust ABAC,100000.0,32.032,9.929632525410478,76.60776723276723,0.0,100.0,0.0,3.889763047356996,3.676440424943742,6.348103317866322,12.671013488732223,14.0,0.0,24.539,2743.0
20260818,AFRICA-ZT-EDU,100000.0,24.51,0.010601502763016657,99.96736026111792,0.15078039039895677,0.2916514764855997,99.7083485235144,6.289482987321449,6.078523041722239,9.128539651556855,4.942621948734668,4.0,100.0,24.539,2743.0
20260819,Legacy RBAC,100000.0,82.715,77.01921159343216,29.96433536843378,0.0,100.0,0.0,1.1809499103781425,1.1118190571872355,1.918358331634754,12.710994553157152,14.0,0.0,24.785,2927.0
20260819,Zero-Trust ABAC,100000.0,32.352,10.060493252675663,76.61041048466865,0.0,100.0,0.0,3.8924062336271,3.6697862180726792,6.350294749842589,12.710994553157152,14.0,0.0,24.785,2927.0
20260819,AFRICA-ZT-EDU,100000.0,24.767,0.003988566110483281,99.98788710784511,0.08472866653217671,0.10249402118209772,99.8975059788179,6.292854732445477,6.072467163058304,9.124248294460058,4.930804922332055,4.0,100.0,24.785,2927.0
20260820,Legacy RBAC,100000.0,82.779,77.16774501484939,29.688689160294278,0.0,100.0,0.0,1.1817581415798293,1.1135157412351773,1.9241337852759697,12.725260416666666,14.0,0.0,24.576,2934.0
20260820,Zero-Trust ABAC,100000.0,32.275,10.207626219770896,76.14562354763748,0.0,100.0,0.0,3.8934800018386198,3.67573606418639,6.3431912239024815,12.725260416666666,14.0,0.0,24.576,2934.0
20260820,AFRICA-ZT-EDU,100000.0,24.555,0.010606703436571913,99.96742007737731,0.11800130208333333,0.27266530334015,99.72733469665985,6.299098948075625,6.078892588980793,9.131348854775974,4.935831705729167,4.0,100.0,24.576,2934.0
20260821,Legacy RBAC,100000.0,82.833,77.22152192662377,29.740562336266947,0.0,100.0,0.0,1.1808359321146018,1.1110882101809834,1.9218066319677058,12.687152425411,14.0,0.0,24.635,2813.0
20260821,Zero-Trust ABAC,100000.0,32.176,10.00597094141843,76.56327697662854,0.0,100.0,0.0,3.8946761808872576,3.6746559183715255,6.3648473803531616,12.687152425411,14.0,0.0,24.635,2813.0
20260821,AFRICA-ZT-EDU,100000.0,24.613,0.003980627612286871,99.98781131922155,0.10148163182463973,0.10664770707429791,99.8933522929257,6.301669805826254,6.074784488743127,9.156106650085478,4.9199512888167245,4.0,100.0,24.635,2813.0
20260822,Legacy RBAC,100000.0,82.794,77.17734447539462,29.724376162523853,0.0,100.0,0.0,1.18107182482612,1.1110597071021244,1.9191813912510918,12.741568468102397,14.0,0.0,24.610000000000003,2905.0
20260822,Zero-Trust ABAC,100000.0,32.135,9.98142989786444,76.58316477361133,0.0,100.0,0.0,3.888313700776015,3.6733572597989754,6.330254752738591,12.741568468102397,14.0,0.0,24.610000000000003,2905.0
20260822,AFRICA-ZT-EDU,100000.0,24.601,0.006632179334129195,99.97967562294215,0.05688744412840309,0.1721170395869191,99.82788296041308,6.2965819603773046,6.076274218957076,9.113627470215024,4.925152377082487,4.0,100.0,24.610000000000003,2905.0
