architecture,requests_mean,requests_ci_low,requests_ci_high,requests_std,permit_rate_pct_mean,permit_rate_pct_ci_low,permit_rate_pct_ci_high,permit_rate_pct_std,false_permit_rate_pct_mean,false_permit_rate_pct_ci_low,false_permit_rate_pct_ci_high,false_permit_rate_pct_std,permit_precision_pct_mean,permit_precision_pct_ci_low,permit_precision_pct_ci_high,permit_precision_pct_std,legitimate_denial_rate_pct_mean,legitimate_denial_rate_pct_ci_low,legitimate_denial_rate_pct_ci_high,legitimate_denial_rate_pct_std,prohibited_transfer_escape_pct_mean,prohibited_transfer_escape_pct_ci_low,prohibited_transfer_escape_pct_ci_high,prohibited_transfer_escape_pct_std,blocked_prohibited_transfer_pct_mean,blocked_prohibited_transfer_pct_ci_low,blocked_prohibited_transfer_pct_ci_high,blocked_prohibited_transfer_pct_std,mean_latency_ms_mean,mean_latency_ms_ci_low,mean_latency_ms_ci_high,mean_latency_ms_std,p50_latency_ms_mean,p50_latency_ms_ci_low,p50_latency_ms_ci_high,p50_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_ci_low,p95_latency_ms_ci_high,p95_latency_ms_std,mean_fields_disclosed_mean,mean_fields_disclosed_ci_low,mean_fields_disclosed_ci_high,mean_fields_disclosed_std,median_fields_disclosed_mean,median_fields_disclosed_ci_low,median_fields_disclosed_ci_high,median_fields_disclosed_std,receipt_coverage_pct_mean,receipt_coverage_pct_ci_low,receipt_coverage_pct_ci_high,receipt_coverage_pct_std,valid_request_share_pct_mean,valid_request_share_pct_ci_low,valid_request_share_pct_ci_high,valid_request_share_pct_std,prohibited_transfer_candidates_mean,prohibited_transfer_candidates_ci_low,prohibited_transfer_candidates_ci_high,prohibited_transfer_candidates_std
Legacy RBAC,5000.0,5000.0,5000.0,0.0,82.67333333333333,82.5019687554871,82.84469791117957,0.1514375558880066,77.11562717913631,76.7140082826726,77.51724607560003,0.3549168961480398,29.369231667950185,28.431447511509308,30.307015824391062,0.8287345167058726,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.1745104951822818,1.1734638929830226,1.175557097381541,0.0009248987219811636,1.1070609562723064,1.1037283210041573,1.1103935915404555,0.0029451018758820877,1.9026706612318132,1.8916493935239027,1.9136919289397236,0.009739666536984217,12.7514379587996,12.589387126826878,12.913488790772323,0.14320685308481848,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,24.28,23.53521368587478,25.024786314125222,0.6581793068761742,140.0,135.06753213920967,144.93246786079033,4.358898943540674
Zero-Trust ABAC,5000.0,5000.0,5000.0,0.0,31.746666666666666,31.43856487221079,32.05476846112254,0.27227437142216143,9.858443581145211,9.38050216577297,10.336384996517452,0.4223642990360191,76.4723353210356,74.8622612081241,78.0824094339471,1.4228476591974446,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3.873509013394886,3.864186971148126,3.882831055641646,0.008238034437903583,3.6662553748093925,3.6511981296503975,3.6813126199683874,0.013306322893234118,6.29233590863311,6.279224792718343,6.305447024547877,0.011586498061917626,12.7514379587996,12.589387126826878,12.913488790772323,0.14320685308481848,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,24.28,23.53521368587478,25.024786314125222,0.6581793068761742,140.0,135.06753213920967,144.93246786079033,4.358898943540674
AFRICA-ZT-EDU,5000.0,5000.0,5000.0,0.0,24.26,23.476995001431803,25.0430049985682,0.6919537556802479,0.008865248226950355,-0.00851031901187991,0.026240815465780623,0.015355060350787918,99.9731182795699,99.92043107568442,100.02580548345539,0.046560505579807204,0.11184348763486539,-0.035574084020546834,0.2592610592902776,0.13027521222310576,0.24154589371980675,-0.23187535858455413,0.7149671460241677,0.4183697602823375,99.75845410628018,99.28503285397582,100.23187535858455,0.4183697602823383,6.269845442213692,6.255444245541871,6.284246638885514,0.01272656259101635,6.072423749009533,6.053565452720762,6.091282045298304,0.01666537118742235,9.01358711642719,8.984080710297222,9.04309352255716,0.02607527228509784,4.942600543218356,4.904108813774541,4.981092272662171,0.03401574293903582,4.0,4.0,4.0,0.0,100.0,100.0,100.0,0.0,24.28,23.53521368587478,25.024786314125222,0.6581793068761742,140.0,135.06753213920967,144.93246786079033,4.358898943540674
